"text","valence","dominance","arousal"
"Please take a few minutes to send a donation to help one or more of our children successfully cross that threshold into the future.",1,0,0
"Sincerely,",1,NA,NA
"Mary Roth Executive Director",0,NA,0
"The young adults who leave Pleasant Run have those same feelings.",NA,NA,0
"June 21, 1999",NA,NA,0
"Very few have family support to get them started.",0,0,0
"Many need furniture, linens and other basic necessities to begin lives on their own.",0,0,0
"Name Address City, ST Zip",NA,NA,0
"To help them establish themselves in the community, the Pleasant Run Emancipation fund was begun in 1993 by private donors who wanted to provide a measure of financial support for those leaving our programs.",1,1,NA
"Individuals who are being emancipated are eligible to receive up to $500 from the Fund if they formally apply and meet four requirements:",1,NA,NA
"Dear ,",1,NA,0
"1. Release by the courts",NA,NA,0
"2. Successful completion of all life skills tests",1,1,NA
"Do you remember the combination of elation and apprehension you felt when you first left home?",1,1,1
"3. Positive termination of his or her Pleasant Run program",0,1,0
"4. Possession of a high school diploma or GED",1,1,0
"Proof of meeting these, two staff reference letters and an essay stating why they should receive a grant and how it will be used are all reviewed by a Pleasant Run panel, which determines if the applicant merits the funds.",NA,1,NA
"Then the task was to help children who lost parents in the Civil War.",NA,NA,NA
"Today, we serve children and families with a multitude of problems: emotional, physical, psychological and sexual abuse.",0,0,NA
"Some come from families where, through therapy, there is hope for reunification.",1,NA,NA
"For others, ""families"" are the counselors are housemates at the group homes where they live.",1,NA,NA
"The biggest tragedy is that the problems don't go away; they only grow.",0,0,1
"Little ones, like Baby Jessica, caught in the struggle between adoptive and birth parents.",0,NA,NA
"In 1995 we will serve over 850 children and 340 families.",1,1,NA
"In 1996, these figures will triple.",NA,NA,0
"The children and families who come to Pleasant Run are given the opportunity to become happy, loving, and productive members of our society.",1,1,0
"They welcome the chance to belong, to become self- sufficient, to regain their self-esteem and confidence.",1,1,NA
"November 27, 1995",NA,0,0
"Often it is a long, hard struggle, but the results are well worth it.",1,NA,NA
"For Pleasant Run to continue to serve abused and neglected children and their families, we need your support.",0,0,NA
"The Funding sources are shrinking, but the needs grow explosively.",0,1,1
"Please ""help good kids get better"" by sending us a contribution today.",1,NA,1
"Your gift will give children and families hope for improved tomorrows.",1,NA,NA
"Sincerely,",NA,1,0
"Mary Roth",NA,0,0
"Older kids, like Tracy and Kerry, left homeless after a recent murder-suicide in Indianapolis claimed Mom and Dad.",0,0,NA
"Young adults, like Mary T., a jobless mother of three, trying desperately to keep her kids out of trouble in a crime-ridden neighborhood.",0,NA,NA
"Dear Friend:",NA,1,0
"Real people!",1,NA,1
"There are thousands more.",0,NA,0
"Families are being torn apart, and too often, children are the victims.",0,0,1
"What kind of people benefit by your contribution to Pleasant Run Children's Homes?",1,NA,0
"Kids like Tommie J., made a ward of the court because of repeated beatings by an alcoholic father;",0,0,1
"Alice, sent to a group home to get help because of severe behavior disorders;",0,0,0
"and John H., a recovering alcoholic, rebuilding a relationships with his family so they can live together again.",1,0,NA
"Pleasant Run Children's Homes began serving children nearly 130 years ago.",1,1,1
"For some, it's a matter of weeks or months;",0,0,NA
"for others, it's years.",0,0,0
"They leave Pleasant Run, generally, ready and able to contribute to society.",1,1,NA
"We're proud of our children and all that they overcome.",1,1,1
"We are a not-for-profit, multi-service agency.",1,1,0
"We wouldn't exist if the need weren't there.",NA,1,0
"The numbers of children who deserve our services are rising... as quickly as our programs can grow to serve them.",1,NA,1
"Please help us help them.",1,NA,1
"Pleasant Run Children's Homes... ""where good kids get better.""",1,1,0
"Sincerely,",1,NA,0
"Mary Roth Tom Hirschauer",NA,NA,0
"June 26, 1995",NA,0,0
"Federal, state and local governments are freezing or withdrawing much-needed funding sources for people who are truly in need.",1,NA,0
"In spite of that, Pleasant Run Children's Homes, with the help of hundreds of volunteers and others who really care, continues to make a significant impact on the futures of families and kids in need of help.",1,1,NA
"Dear Friend:",1,0,1
"We all hear about today's increases in neglect, abuse and abandonment of those who can't fight back: children.",0,0,1
"This is not newsletter.",0,1,0
"Yet few of us hear enough about kids who live through these adversities and do make the grade.",NA,NA,0
"The positive side.",1,1,1
"These are special children.",1,0,0
"It is a fund-raising appeal.",NA,NA,0
"They come into a Pleasant Run program...",0,NA,0
"whether it's for therapeutic help in their own homes (which nurtures whole families), through foster care families or in the familial surroundings of our residential homes.",0,0,NA
"Your contribution will make a difference in a child's life.",1,1,1
"It may help a family stay together.",1,NA,NA
"It can certainly make happy holiday memories.",1,1,1
"A gift to Pleasant Run means the children in our care will have presents to open.",1,1,0
"A gift means a family will have a holiday meal, cooking utensils to prepare the meal and dishes to serve it on.",1,NA,0
"Your gift will go beyond the holiday season.",1,1,1
"It can help purchase clothing, school supplies, books and educational tools throughout the year.",1,NA,0
"Please take a few minutes to mail a donation to Pleasant run.",1,1,1
"Let our families and children know that you want them to have the same kinds of memories of the holidays you will have.",1,NA,0
"We wish you and your family a new year full of joy and love.",1,0,1
"Sincerely,",1,1,NA
"Dear Friends of Pleasant Run:",NA,NA,1
"Mary Roth Executive Director",NA,NA,0
"This is the time of year when we give thanks for the warmth and love that surrounds us.",1,1,1
"And this time of year is an occasion to remember those not as fortunate as we are.",0,0,0
"Pleasant Run cares for at-risk children and families.",1,NA,NA
"We do this through a wide range of programs including community- based, therapeutic foster care, group homes and our treatment center.",NA,1,0
"The holiday season is the time of year when we're all busy buying gifts, baking goodies, decorating our homes and making arrangements to be with family and friends.",1,NA,NA
"Many of the children are victims of abuse or live in unstable homes.",0,1,1
"Today we are asking you to take a few minutes to consider making a contribution to Pleasant Run to help the 1,500 children families we care for.",1,NA,NA
"Many of the children have no homes; no memories of joy from past holidays.",0,0,1
"Others are from families that are struggling to provide a healthy, happy environment but don't have the resources to make it possible.",0,0,NA
"If you are interested and would like more information, please contact Lisa Lusk or Marcia Whited at 693-9222.",NA,NA,0
"We would like to have families matched with sponsors non later than xxxx.",NA,1,NA
"Thank you for considering this opportunity to make this a memorable holiday season for a family in need.",1,1,1
"Sincerely,",1,NA,0
"It's hard to believe that the holiday season is only two months away.",1,1,1
"Every year we seek companies, organizations and individuals to sponsor one or more of our families.",1,NA,0
"These families are participants in our community-based programs.",1,NA,0
"These programs focus on keeping the family together by providing counseling and other services to the entire family.",1,1,NA
"After our caseworkers meet with these families and their children they often find they lack even the basic necessities such as cooking utensils, beds, cleaning supplies, etc.",0,NA,0
"We meet these needs immediately.",1,1,NA
"But, the holiday season is a particularly difficult time for these families.",0,NA,0
"They do not have the resources necessary to purchase gifts or food for a holiday meal.",0,0,0
"We are asking you to consider sponsoring one of our families for this holiday season.",1,1,1
"At Pleasant Run, Inc. we are making plans and arrangements for our children and families.",1,0,0
"It costs $225 to send one child to camp.",0,NA,NA
"Many members of the Boys & Girls Clubs of Indianapolis can't afford to go to camp without financial assistance, and that's why we need you!",1,1,1
"Please make camp possible for all deserving Indianapolis children and send in a tax deductible contribution today in the enclosed envelope.",1,1,1
"Yes, it's that time of the year -- the start of the Boys & Girls clubs of Indianapolis' Camp.",1,1,1
"Consider sponsoring 1, 2, or 3 children.",1,1,1
"No matter the size of the donation, please know that your gift will be appreciated and make a difference.",1,0,1
"Sincerely,",NA,NA,0
"Richard Dickinson",NA,NA,0
"You can make a difference in a child's life.",1,1,1
"Sponsor a child at the Boys & Girls Clubs of Indianapolis' summer camp today!",1,1,1
"June 1, 1998 BOYS & Girls Club OF INDIANAPOLIS",NA,1,NA
"Six weeks of learning and exploring, sports, arts, and fellowship.",1,NA,0
"A time for a youngster to enjoy the fun and benefits of residential camp living, dedicated staff and instruction, and a chance to make special friends.",1,NA,0
"I know you're committed to ensuring today's children have safe, healthy, and positive summer experiences.",1,1,1
"That's why I want you to learn more about the Super Summer Safari Camp.",1,NA,NA
"At Super Summer Safari Camp, there are daily sports, nature, and arts activities.",1,1,0
"Dear Friend,",1,0,1
"In addition to the fun stuff, important life-skills such as self-esteem, leadership, and interpersonal cooperation are being developed.",1,NA,1
"It's summertime, so it must be time for CAMP!",1,NA,1
"Please read the enclosed brochure for more information on the wonderful Super Summer Safari Camp!",1,1,1
"We are counting on you now to help us get where we need to be tomorrow.",NA,1,1
"Would you please consider a gift of the same in 1999?",NA,0,NA
"Please, give generously.",0,0,NA
"The kids are depending on you.",1,1,1
"Respectfully,",NA,0,0
"James Campbell President of the Board Deputy Chief, Indianapolis Police Department",NA,NA,0
"A United Way Agency",1,NA,0
"Please detach and return in the enclosed envelope.",NA,NA,0
"Youngsters often find themselves feeling alienated and alone.",0,0,NA
"February 26, 1999",NA,NA,0
"That's where the Boys & Girls Clubs of Indianapolis come in.",1,1,NA
"We reach out to kids -- especially those from disadvantaged neighborhoods where the risks are highest.",1,1,NA
"We give them a chance to realize their own potential by giving them a place where they can develop a sense of competence, of usefulness, a sense of belonging and of influence.",1,1,1
"Dear ,",NA,NA,0
"Kids today face overwhelming pressures, everything from trouble at home to gangs and drugs.",0,0,NA
"Money for programs, for equipment, and for repairs and improvements to club facilities.",1,NA,0
"Your contribution last year of helped us get where we are today.",1,1,NA
"In addition, we will have soft drinks and a raffle, so that you can walk home with a great prize!",1,1,1
"The Jameson Grill has been designed to be nothing but fun for you, your family, employees, and maybe even your neighbors.",1,0,1
"Join in this wonderful event and help Jameson Camp continue to provide the year-round support that gives kids a chance to create dreams.",1,NA,1
"Simply fill out the enclosed card, and we will see you at the Grill!",1,1,1
"One of our volunteers will be contacting you soon.",1,1,0
"Questions?",NA,NA,1
"Call Pat Bray at 241-2661 or e-mail, jcfundrzr@aol.com",1,NA,0
"Come one, Come all to the Inaugural Jameson Grill",1,1,1
"Saturday, September 20,1997, from 2:00 p.m. until 7:00 p.m., marks a special day, as Jameson Camp will hold its first ever Jameson Grill.",1,NA,1
"A fund raiser dedicated to you and your family having fun!",1,NA,1
"!",1,1,1
"For this event, when you purchase a corporate picnic table, you will be able to bring 16 people.",1,1,NA
"The Grill will feature enough activities that you and your kids will have a tough time deciding what to do.",NA,NA,0
"From basketball, kickball, volleyball, archery, crafts, an egg toss, and even a walk through our creek, you will have plenty to do to get you good and hungry.",1,NA,1
"The only fund raising event in the world where you can bring your entire family, other employees, or maybe even your neighbors.",1,0,0
"Hungry, you bet!",NA,1,1
"We'll prepare a hog roast and hot dogs for the kids, with all the fixings.",1,1,1
"This event is designed to be fun for campers, their families, friends of the camp, neighbors, staff, and anyone interested in finding out more about Jameson.",1,1,1
"In short, Fun for Everyone!",1,1,1
"The family-friendly event, September 20, 1997, will include a hog roast, activities for kids and adults, prizes for activities, and a small raffle.",1,1,NA
"This is where we need your help.",NA,0,1
"Can you help support this wonderful event by furnishing any type of products or services that can be used as prizes for our activities or as a raffle prize?",1,1,0
"Jameson is a not-for-profit agency established in 1928 to serve the youth of central Indiana who have special needs.",1,1,1
"Your contribution will help with funding so Jameson Camp can continue providing the year-round camping experience that gives kids a chance to create dreams.",1,1,1
"Enclosed is a form you can complete and return to us in the postage-paid envelope.",1,NA,0
"July 11, 1997",0,1,0
"Or, you can fax us at 241-2760, or e-mail, icfundrzr@aol.com.",NA,1,0
"Your quick response will help us begin organizing our prizes.",1,1,1
"After we receive your commitment, we will contact you about picking up your contribution.",1,NA,0
"If you have any questions, please call me at 241-2661.",1,1,1
"We appreciate your support of our first event of this type.",1,1,1
"Sincerely,",0,NA,0
"Help Blaze The Trail -- 1997 Jameson Camp",1,NA,1
"Thank you for your last Annual Fund Gift!",1,1,1
"The camp offers summer residential programs for children from ages 7-17, and continues contact with the campers and their families with special overnight and weekend follow-up events during the school year.",1,NA,0
"Name Address City, State Zip",NA,NA,0
"All children who attend the camp are referred by social workers, doctors, teachers, counselors, and other professionals.",0,0,0
"Many of the children have learning disabilities, behavioral problems, or come from economically distressed families.",0,0,0
"Dear Mr./Mrs. Name:",NA,NA,NA
"The goal of our organized camping experience is to improve the total health of the children socially, emotionally, and physically.",1,1,1
"This year Jameson Camp is planning an Inaugural fund-raising event: The Jameson Grill!",1,NA,NA
"We need your help in continuing the work of Jameson Camp.",1,0,1
"Two of them told me yesterday that as a group they decided they had to earn the right to ask others for help by accomplishing something real to help themselves.",1,1,0
"I hope you'll consider continuing your support of Jameson's special campers by renewing your last gift of $ xxx.",1,1,NA
"And that's from kids many people see as a problem.",0,NA,0
"Even after the summer sessions come to a close, Jameson campers will take part in year-round programs designed to keep that positive contact with peers and role models alive and important.",1,1,1
"We've scheduled more than 15 follow-up camper weekends beginning in September and going around till next summers camping season.",1,1,1
"Please, consider renewing your support of these great kids today.",1,0,1
"Sincerely,",NA,NA,0
"Julie Marsh Executive Director",NA,1,0
"P.S.",NA,NA,0
"We know our follow-up weekends are going to be better attended than ever this fall and winter.",1,1,1
"If you can give a little more to help meet this increased expense we would appreciate your support.",1,NA,0
"July 25,1997",NA,1,0
"I can tell you we need your help now as much as ever before.",1,0,1
"All of our Six summer camping sessions are booked to capacity (and, truth be told, with maybe one our two extra returning campers squeezed in) and we have a waiting list of 60 children who are hoping to come if a spot should open.",1,NA,1
"Dear Name,",NA,NA,0
"What a Summer!",1,1,1
"Many more camper referrals are coming from new organizations such as school social-workers and family counseling agencies.",1,NA,NA
"It seems summer options aren't readily available for troubled kids whose families have limited incomes, so we're doing all we can to make Jameson available.",0,NA,NA
"And we're just getting started!",1,1,1
"That ""we"" includes the Youth Leadership teens.",NA,NA,0
"These 60 or so campers have takenon a fund raiser with a goal of raising $16,000 for camperships.",1,1,1
"An understanding that, above anything else, success requires genuine effort, a willingness to set challenging goals.",1,1,1
"In just the past few years this program has grown from a few kids and a few extra activities to a team of almost 60 young adults taking on real projects.",NA,NA,NA
"YL teens will make J.C. juniors happen again this year for 7 and 8 year old campers.",1,NA,0
"A five day camp, J.C. juniors introduces at-risk children to Jameson two years earlier than we could previously reach them.",1,0,NA
"That means we now have the opportunity to be a stable, positive and important part of each child's life for an entire decade.",1,1,1
"The teens have also decided to raise money to provide camperships for other campers because they know what Jameson has meant to them.",1,1,NA
"And their activities aren't isolated to Jameson.",NA,NA,0
"The teens have undertaken a volunteer project to regularly visit with sick children at a local hospital.",1,0,0
"June 10, 1997",NA,NA,0
"Please consider renewing your gift today.",1,NA,0
"The kids need your leadership now more than ever.",NA,NA,0
"If you can increase your last donation, we would appreciate that show of support for the campers and their efforts to overcome obstacles and create successful lives.",NA,0,1
"Thank you again for helping point the way.",1,NA,1
"Sincerely,",NA,0,0
"Julie Marsh, Executive Director",NA,0,0
"P.S.",NA,1,0
"These are the attributes we want all children to have.",1,1,1
"You help Jameson campers reach for them.",1,1,NA
"If these special children are to become the adults we all need them to be, we have to lead them in the right direction right now.",1,1,1
"Name Address City, ST Zip",0,0,0
"Jameson points the way for children who need that extra hand and I hope you'll continue your support this year.",1,0,0
"You're last gift of $50.00 helped make it possible for us to provide guidance, encouragement and fun to nearly 400 Indianapolis area children.",1,NA,1
"And not just during the summer, but throughout the year.",NA,NA,0
"What has your support of our campers meant to them and what have they been able to accomplish because you care?",0,NA,1
"Confidence.",1,1,0
"The best indicator I can give you of the positive effect our year-round contact has is the growth in and deeds of the Youth Leadership teens.",1,1,1
"The end result will be kids who have a better understanding of and vision for their own future, be it college or a career.",1,1,1
"The Summer Enrichment Program will conclude with a celebration that includes family and friends.",1,NA,1
"We would like to offer our youth a small reward for their participation by presenting them with gift certificates from Target.",NA,NA,NA
"Therefore, we are asking you to donate 45, $10 gift certificates that can be used toward the purchase of school supplies or clothing, in the total amount of $450.",NA,1,0
"In return, we will recognize Target as a sponsor during our event and in the event program.",1,1,0
"Target is well known for it's support of the community, and we believe that the Summer Enrichment Program represents your interests and concerns quite well.",1,1,NA
"July30,1999",NA,NA,0
"I will be happy to supply any additional information you may need and thank you for your consideration of our request.",1,1,1
"We look forward to hearing from you.",1,NA,1
"Sincerely,",NA,NA,0
"Valery De Long Director of Development",0,1,0
"In 1998, we served a total of 31,484 low-income individuals through job training and placement assistance, youth and senior programming, family counseling, emergency assistance, and much more.",1,NA,NA
"Name Address City, ST Zip",NA,NA,0
"As you can see from the enclosed map, your Target store is located in the heart of four of our service areas.",1,1,NA
"The centers that serve these areas, Mary Rigg Neighborhood Center, Hawthorne Community Center, Southwest Multi-Service Center, and Christamore House, have teamed up to run an exciting job readiness program for 14 and 15 year old area residents called the Summer Enrichment Program.",1,1,1
"Dear Mr. Ratcliff:",1,NA,0
"CCI is a federation of 13 neighborhood-based multi-service centers whose mission is to identify and meet the human service needs of residents throughout Marion County in the most effective, efficient and comprehensive way possible.",1,1,0
"Between June 21 and August 31, 45 youth will spend 20 hours a week developing life management and work ethic skills, learning the computer, visiting area colleges, and interacting with guest speakers.",1,1,0
"With this in mind, I am asking each one of you to make a personal contribution of $50, $100 or even $1,000 to show that you believe in the work that we do and are willing to support it with both your time and your finances.",1,1,1
"CCI has come a long way in the last five years.",1,NA,NA
"This way when we go out to ask for community support and are asked about our board giving level, we can show our in-house commitment through 100% board participation.",1,0,0
"I also encourage you to seek additional support through your company, church, or service organization.",NA,NA,NA
"We've worked hard to structrue the organization so that we've ready to move boldly into the next century, and I believe that we have an exciting and successful future ahead of us.",1,1,1
"I know that our staff and committee members will be happy to go with you to talk to these group if you need their help.",NA,1,NA
"We're at an exciting juncture and it won't be long until we start seeing solid results from our efforts.",1,1,1
"Your financial support of the development process is just one step in making CCI a stronger, more efficient and ultimately more effective federation of service providers.",1,1,1
